[run] M-ours-dscore: built from explicit ckpt ckpt/d2sx_N10000_a1.pt -- caller override, NOT verified against the gate record here (recorded PASS rows: none)
[run] D2 7 points x n=640 -> 112 tasks on 112 workers (prior S2, cells ['C2'], chunk 40) -> /home/HTJ/t2/conf/raw_supp
87/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip320_n40.npz  (172 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.05 R4-scvamp=0.07 M-ours-gmm32=0.00 R5-genie=0.00
88/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip40_n40.npz  (172 s)  BLER16: R2-ours-G=0.28 R3-bigamp=0.42 R4-scvamp=0.50 M-ours-gmm32=0.30 R5-genie=0.03
89/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip560_n40.npz  (172 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.07 R4-scvamp=0.10 M-ours-gmm32=0.05 R5-genie=0.00
90/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr3_skip440_n40.npz  (172 s)  BLER16: R2-ours-G=0.10 R3-bigamp=0.15 R4-scvamp=0.17 M-ours-gmm32=0.07 R5-genie=0.03
91/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip440_n40.npz  (172 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.03 R4-scvamp=0.12 M-ours-gmm32=0.03 R5-genie=0.00
92/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip480_n40.npz  (172 s)  BLER16: R2-ours-G=0.30 R3-bigamp=0.40 R4-scvamp=0.50 M-ours-gmm32=0.28 R5-genie=0.05
93/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip80_n40.npz  (173 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.05 R4-scvamp=0.10 M-ours-gmm32=0.05 R5-genie=0.00
94/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr0_skip280_n40.npz  (173 s)  BLER16: R2-ours-G=0.07 R3-bigamp=0.15 R4-scvamp=0.28 M-ours-gmm32=0.00 R5-genie=0.00
95/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr12_skip360_n40.npz  (173 s)  BLER16: R2-ours-G=0.00 R3-bigamp=0.10 R4-scvamp=0.03 M-ours-gmm32=0.00 R5-genie=0.00
96/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr-3_skip80_n40.npz  (173 s)  BLER16: R2-ours-G=0.38 R3-bigamp=0.68 R4-scvamp=0.65 M-ours-gmm32=0.38 R5-genie=0.07
97/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip600_n40.npz  (173 s)  BLER16: R2-ours-G=0.03 R3-bigamp=0.05 R4-scvamp=0.12 M-ours-gmm32=0.05 R5-genie=0.00
98/112 done    D2_C2_S2_Nr8_T16_Tp4_dft_snr6_skip400_n40.npz  (173 s)  BLER16: R2-ours-G=0.05 R3-bigamp=0.12 R4-scvamp=0.10 M-ours-gmm32=0.05 R5-genie=0.05
