
# ===== 2026-09-22 12:08:31 KST  D1V3160000 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 0.01 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch   82 | train 7.400039e-01 | val 7.399216e-01 |  62.426 s | best 7.399077e-01 @74 | asym_reg 4.025924e-02
epoch   83 | train 7.384963e-01 | val 7.399258e-01 |  62.274 s | best 7.399077e-01 @74 | asym_reg 4.029730e-02
epoch   84 | train 7.392548e-01 | val 7.399197e-01 |  62.226 s | best 7.399077e-01 @74 | asym_reg 4.021189e-02
epoch   85 | train 7.386487e-01 | val 7.399003e-01 |  62.261 s | best 7.399003e-01 @85 * | asym_reg 4.038175e-02
epoch   86 | train 7.404662e-01 | val 7.399005e-01 |  62.393 s | best 7.399003e-01 @85 | asym_reg 4.068935e-02
epoch   87 | train 7.390488e-01 | val 7.399245e-01 |  62.097 s | best 7.399003e-01 @85 | asym_reg 4.047059e-02
epoch   88 | train 7.392207e-01 | val 7.399339e-01 |  62.156 s | best 7.399003e-01 @85 | asym_reg 3.956230e-02
epoch   89 | train 7.398097e-01 | val 7.399150e-01 |  62.142 s | best 7.399003e-01 @85 | asym_reg 3.959442e-02
epoch   90 | train 7.395820e-01 | val 7.399139e-01 |  63.013 s | best 7.399003e-01 @85 | asym_reg 3.991936e-02
epoch   91 | train 7.399134e-01 | val 7.398984e-01 |  63.408 s | best 7.398984e-01 @91 * | asym_reg 3.956682e-02
