
# ===== 2026-09-20 13:57:55 KST  L5 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'rf', 'domain': 'pixel', 'base': 'L4', 'width': 512, 'depth': 6, 'emb': 128, 'lr': 0.0003, 'ema': 0.999, 'batch': 256}  params=28665346  base-selection {'gate_scores': {'L3': 4.792587523318085, 'L4': 2.109171518826029, 'L1': 4.6252948083069985, 'L2': 4.51099737885951}, 'base': 'L4', 'note': 'chosen BY GATE SCORE (04_SPEC §4), never by BLER'}
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch  120 | train 9.773770e-01 | val 1.057428e+00 |   0.513 s | best 1.048803e+00 @100
epoch  121 | train 9.730376e-01 | val 1.058490e+00 |   0.503 s | best 1.048803e+00 @100
epoch  122 | train 9.640330e-01 | val 1.059665e+00 |   0.510 s | best 1.048803e+00 @100
epoch  123 | train 9.647893e-01 | val 1.060974e+00 |   0.500 s | best 1.048803e+00 @100
epoch  124 | train 9.618687e-01 | val 1.062412e+00 |   0.508 s | best 1.048803e+00 @100
epoch  125 | train 9.564321e-01 | val 1.063933e+00 |   0.512 s | best 1.048803e+00 @100
epoch  126 | train 9.536735e-01 | val 1.065570e+00 |   0.512 s | best 1.048803e+00 @100
epoch  127 | train 9.492512e-01 | val 1.067321e+00 |   0.509 s | best 1.048803e+00 @100
epoch  128 | train 9.482435e-01 | val 1.069187e+00 |   0.512 s | best 1.048803e+00 @100
epoch  129 | train 9.412172e-01 | val 1.071147e+00 |   0.509 s | best 1.048803e+00 @100
epoch  130 | train 9.425204e-01 | val 1.073299e+00 |   0.501 s | best 1.048803e+00 @100
epoch  131 | train 9.391644e-01 | val 1.075585e+00 |   0.514 s | best 1.048803e+00 @100
epoch  132 | train 9.313402e-01 | val 1.078097e+00 |   0.519 s | best 1.048803e+00 @100
epoch  133 | train 9.284877e-01 | val 1.080774e+00 |   0.508 s | best 1.048803e+00 @100
epoch  134 | train 9.243382e-01 | val 1.083559e+00 |   0.509 s | best 1.048803e+00 @100
epoch  135 | train 9.238206e-01 | val 1.086547e+00 |   0.510 s | best 1.048803e+00 @100
epoch  136 | train 9.133746e-01 | val 1.089697e+00 |   0.510 s | best 1.048803e+00 @100
epoch  137 | train 9.171915e-01 | val 1.093020e+00 |   0.539 s | best 1.048803e+00 @100
epoch  138 | train 9.119141e-01 | val 1.096487e+00 |   0.512 s | best 1.048803e+00 @100
epoch  139 | train 9.087826e-01 | val 1.100201e+00 |   0.518 s | best 1.048803e+00 @100
epoch  140 | train 8.983818e-01 | val 1.104188e+00 |   0.522 s | best 1.048803e+00 @100
epoch  141 | train 8.994396e-01 | val 1.108230e+00 |   0.510 s | best 1.048803e+00 @100
epoch  142 | train 8.993662e-01 | val 1.112584e+00 |   0.505 s | best 1.048803e+00 @100
epoch  143 | train 8.876890e-01 | val 1.117119e+00 |   0.512 s | best 1.048803e+00 @100
epoch  144 | train 8.842067e-01 | val 1.121890e+00 |   0.524 s | best 1.048803e+00 @100
epoch  145 | train 8.788494e-01 | val 1.126803e+00 |   0.506 s | best 1.048803e+00 @100
epoch  146 | train 8.814691e-01 | val 1.132001e+00 |   0.499 s | best 1.048803e+00 @100
epoch  147 | train 8.736448e-01 | val 1.137361e+00 |   0.522 s | best 1.048803e+00 @100
epoch  148 | train 8.712011e-01 | val 1.142841e+00 |   0.505 s | best 1.048803e+00 @100
epoch  149 | train 8.690772e-01 | val 1.148593e+00 |   0.515 s | best 1.048803e+00 @100
epoch  150 | train 8.619784e-01 | val 1.154568e+00 |   0.519 s | best 1.048803e+00 @100
epoch  151 | train 8.581182e-01 | val 1.160933e+00 |   0.509 s | best 1.048803e+00 @100
epoch  152 | train 8.560709e-01 | val 1.167325e+00 |   0.520 s | best 1.048803e+00 @100
epoch  153 | train 8.536058e-01 | val 1.173952e+00 |   0.516 s | best 1.048803e+00 @100
epoch  154 | train 8.491955e-01 | val 1.180925e+00 |   0.515 s | best 1.048803e+00 @100
epoch  155 | train 8.493868e-01 | val 1.188104e+00 |   0.516 s | best 1.048803e+00 @100
epoch  156 | train 8.378440e-01 | val 1.195352e+00 |   0.499 s | best 1.048803e+00 @100
epoch  157 | train 8.339047e-01 | val 1.202908e+00 |   0.509 s | best 1.048803e+00 @100
epoch  158 | train 8.375997e-01 | val 1.210625e+00 |   0.516 s | best 1.048803e+00 @100
epoch  159 | train 8.306395e-01 | val 1.218660e+00 |   0.504 s | best 1.048803e+00 @100
epoch  160 | train 8.251888e-01 | val 1.226717e+00 |   0.515 s | best 1.048803e+00 @100
epoch  161 | train 8.219996e-01 | val 1.235223e+00 |   0.521 s | best 1.048803e+00 @100
epoch  162 | train 8.258769e-01 | val 1.243588e+00 |   0.516 s | best 1.048803e+00 @100
epoch  163 | train 8.197479e-01 | val 1.252152e+00 |   0.523 s | best 1.048803e+00 @100
epoch  164 | train 8.137668e-01 | val 1.261229e+00 |   0.506 s | best 1.048803e+00 @100
epoch  165 | train 8.126440e-01 | val 1.270495e+00 |   0.509 s | best 1.048803e+00 @100
epoch  166 | train 8.076273e-01 | val 1.279756e+00 |   0.513 s | best 1.048803e+00 @100
epoch  167 | train 8.049621e-01 | val 1.289422e+00 |   0.525 s | best 1.048803e+00 @100
epoch  168 | train 7.959794e-01 | val 1.299454e+00 |   0.507 s | best 1.048803e+00 @100
epoch  169 | train 8.000758e-01 | val 1.309209e+00 |   0.503 s | best 1.048803e+00 @100
epoch  170 | train 7.956083e-01 | val 1.319363e+00 |   0.504 s | best 1.048803e+00 @100
epoch  171 | train 7.880151e-01 | val 1.329804e+00 |   0.503 s | best 1.048803e+00 @100
epoch  172 | train 7.902411e-01 | val 1.340167e+00 |   0.502 s | best 1.048803e+00 @100
epoch  173 | train 7.842882e-01 | val 1.350550e+00 |   0.501 s | best 1.048803e+00 @100
epoch  174 | train 7.810864e-01 | val 1.361199e+00 |   0.509 s | best 1.048803e+00 @100
epoch  175 | train 7.805523e-01 | val 1.371903e+00 |   0.502 s | best 1.048803e+00 @100
epoch  176 | train 7.759887e-01 | val 1.382928e+00 |   0.504 s | best 1.048803e+00 @100
epoch  177 | train 7.731649e-01 | val 1.393993e+00 |   0.505 s | best 1.048803e+00 @100
epoch  178 | train 7.658139e-01 | val 1.405436e+00 |   0.503 s | best 1.048803e+00 @100
epoch  179 | train 7.636470e-01 | val 1.416993e+00 |   0.503 s | best 1.048803e+00 @100
epoch  180 | train 7.614949e-01 | val 1.428926e+00 |   0.502 s | best 1.048803e+00 @100
epoch  181 | train 7.574574e-01 | val 1.440666e+00 |   0.500 s | best 1.048803e+00 @100
epoch  182 | train 7.571270e-01 | val 1.452399e+00 |   0.502 s | best 1.048803e+00 @100
epoch  183 | train 7.555949e-01 | val 1.463949e+00 |   0.503 s | best 1.048803e+00 @100
epoch  184 | train 7.530088e-01 | val 1.475782e+00 |   0.509 s | best 1.048803e+00 @100
epoch  185 | train 7.497497e-01 | val 1.487561e+00 |   0.504 s | best 1.048803e+00 @100
epoch  186 | train 7.442398e-01 | val 1.499530e+00 |   0.504 s | best 1.048803e+00 @100
epoch  187 | train 7.408013e-01 | val 1.511673e+00 |   0.509 s | best 1.048803e+00 @100
epoch  188 | train 7.366373e-01 | val 1.524239e+00 |   0.504 s | best 1.048803e+00 @100
epoch  189 | train 7.413458e-01 | val 1.536552e+00 |   0.502 s | best 1.048803e+00 @100
epoch  190 | train 7.305720e-01 | val 1.549031e+00 |   0.509 s | best 1.048803e+00 @100
epoch  191 | train 7.318629e-01 | val 1.561679e+00 |   0.512 s | best 1.048803e+00 @100
epoch  192 | train 7.268614e-01 | val 1.574407e+00 |   0.506 s | best 1.048803e+00 @100
epoch  193 | train 7.283184e-01 | val 1.587017e+00 |   0.507 s | best 1.048803e+00 @100
epoch  194 | train 7.230475e-01 | val 1.599879e+00 |   0.504 s | best 1.048803e+00 @100
epoch  195 | train 7.200186e-01 | val 1.612767e+00 |   0.506 s | best 1.048803e+00 @100
epoch  196 | train 7.164915e-01 | val 1.625686e+00 |   0.501 s | best 1.048803e+00 @100
epoch  197 | train 7.158273e-01 | val 1.638375e+00 |   0.501 s | best 1.048803e+00 @100
epoch  198 | train 7.098587e-01 | val 1.651224e+00 |   0.509 s | best 1.048803e+00 @100
epoch  199 | train 7.091471e-01 | val 1.664764e+00 |   0.508 s | best 1.048803e+00 @100
epoch  200 | train 7.091987e-01 | val 1.677785e+00 |   0.511 s | best 1.048803e+00 @100
# done        : 200 epochs, stopped_by=patience, aborted=False, best val 1.048803e+00 @ epoch 100, wall 473.5 s, 2.368 s/epoch
