
# ===== 2026-09-21 16:17:01 KST  D1V2160000 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.000746015350530356, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1, 'head': 'energy'}  params=479361
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch   96 | train 7.368918e-01 | val 7.399964e-01 |  53.829 s | best 7.398676e-01 @74 | gnorm mean 4.202e-02 max 9.513e-02
epoch   97 | train 7.390019e-01 | val 7.399917e-01 |  52.123 s | best 7.398676e-01 @74 | gnorm mean 4.136e-02 max 9.534e-02
epoch   98 | train 7.380954e-01 | val 7.399842e-01 |  39.322 s | best 7.398676e-01 @74 | gnorm mean 4.062e-02 max 1.154e-01
epoch   99 | train 7.379156e-01 | val 7.399753e-01 |  20.610 s | best 7.398676e-01 @74 | gnorm mean 4.173e-02 max 1.007e-01
epoch  100 | train 7.372581e-01 | val 7.399739e-01 |  20.796 s | best 7.398676e-01 @74 | gnorm mean 4.148e-02 max 9.152e-02
epoch  101 | train 7.387810e-01 | val 7.399753e-01 |  20.664 s | best 7.398676e-01 @74 | gnorm mean 4.015e-02 max 8.980e-02
epoch  102 | train 7.382374e-01 | val 7.399783e-01 |  20.571 s | best 7.398676e-01 @74 | gnorm mean 4.190e-02 max 1.065e-01
epoch  103 | train 7.393414e-01 | val 7.399917e-01 |  20.768 s | best 7.398676e-01 @74 | gnorm mean 4.179e-02 max 9.974e-02
epoch  104 | train 7.376139e-01 | val 7.400063e-01 |  20.619 s | best 7.398676e-01 @74 | gnorm mean 4.018e-02 max 1.034e-01
epoch  105 | train 7.375421e-01 | val 7.399974e-01 |  20.750 s | best 7.398676e-01 @74 | gnorm mean 4.067e-02 max 9.084e-02
epoch  106 | train 7.377820e-01 | val 7.400022e-01 |  20.765 s | best 7.398676e-01 @74 | gnorm mean 3.995e-02 max 1.011e-01
epoch  107 | train 7.381622e-01 | val 7.399886e-01 |  20.731 s | best 7.398676e-01 @74 | gnorm mean 3.980e-02 max 1.084e-01
epoch  108 | train 7.381090e-01 | val 7.400004e-01 |  20.651 s | best 7.398676e-01 @74 | gnorm mean 4.118e-02 max 9.940e-02
epoch  109 | train 7.380659e-01 | val 7.400090e-01 |  20.782 s | best 7.398676e-01 @74 | gnorm mean 4.149e-02 max 1.068e-01
epoch  110 | train 7.380522e-01 | val 7.399993e-01 |  46.245 s | best 7.398676e-01 @74 | gnorm mean 4.143e-02 max 1.033e-01
epoch  111 | train 7.377202e-01 | val 7.400095e-01 |  53.742 s | best 7.398676e-01 @74 | gnorm mean 4.082e-02 max 1.245e-01
epoch  112 | train 7.391820e-01 | val 7.400239e-01 |  53.760 s | best 7.398676e-01 @74 | gnorm mean 3.884e-02 max 1.200e-01
epoch  113 | train 7.387096e-01 | val 7.400181e-01 |  53.764 s | best 7.398676e-01 @74 | gnorm mean 4.161e-02 max 9.678e-02
epoch  114 | train 7.377511e-01 | val 7.400275e-01 |  53.516 s | best 7.398676e-01 @74 | gnorm mean 4.106e-02 max 1.149e-01
epoch  115 | train 7.373525e-01 | val 7.400336e-01 |  52.164 s | best 7.398676e-01 @74 | gnorm mean 4.068e-02 max 1.016e-01
epoch  116 | train 7.374566e-01 | val 7.400362e-01 |  45.778 s | best 7.398676e-01 @74 | gnorm mean 3.972e-02 max 1.062e-01
epoch  117 | train 7.391101e-01 | val 7.400240e-01 |  53.571 s | best 7.398676e-01 @74 | gnorm mean 3.847e-02 max 8.155e-02
epoch  118 | train 7.392408e-01 | val 7.400287e-01 |  53.530 s | best 7.398676e-01 @74 | gnorm mean 4.123e-02 max 9.837e-02
epoch  119 | train 7.378141e-01 | val 7.400246e-01 |  53.542 s | best 7.398676e-01 @74 | gnorm mean 3.902e-02 max 8.807e-02
epoch  120 | train 7.372306e-01 | val 7.400324e-01 |  53.497 s | best 7.398676e-01 @74 | gnorm mean 3.915e-02 max 9.355e-02
epoch  121 | train 7.368348e-01 | val 7.400459e-01 |  53.260 s | best 7.398676e-01 @74 | gnorm mean 4.056e-02 max 1.033e-01
epoch  122 | train 7.385307e-01 | val 7.400450e-01 |  50.512 s | best 7.398676e-01 @74 | gnorm mean 3.959e-02 max 8.622e-02
epoch  123 | train 7.377999e-01 | val 7.400846e-01 |  53.551 s | best 7.398676e-01 @74 | gnorm mean 4.128e-02 max 1.055e-01
epoch  124 | train 7.380657e-01 | val 7.401080e-01 |  52.938 s | best 7.398676e-01 @74 | gnorm mean 3.983e-02 max 9.654e-02
