trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
4,4.867429912041418,114.5,,mlp,vp,pixel,512,7,6.146233070229797e-05,0.99,512,64,,,4039232,267,0.7680515646934509,patience,8.024755725185966e-16,0.1788973223656296,0.7301144868062126,0.4737790688381977,0.1763169618827677
5,8.203253325000873,128.1,,mlp,edm,pixel,384,3,0.0015904948035800374,0.9999,512,128,,,1134016,600,0.8843916058540344,max_epochs,2.122856514451426e-16,0.21786243682612882,1.2304879987501307,0.39133859664324433,0.1975933734777936
12,6.388902653231935,237.7,,adm,edm,pixel,48,8,9.070354655368709e-05,0.9995,256,256,4,,3386930,126,0.8295053839683533,patience,1.891576449049585e-16,0.04082083384332735,0.9583353979847902,0.2165073202237671,0.03928194747809
13,48.88544136817272,74.4,,adm,ve,pixel,48,5,0.004084051247428312,0.999,256,64,2,,2822450,18,0.9507367014884949,patience,7.17088633291425e-17,2.4442720684086363,1.0336973467383286,1.96979734979957,2.42341126059027
7,5.36253896009223,117.4,,mlp,vp,angle,384,6,0.00015669051530511465,0.999,256,64,,,1996480,182,0.7690204381942749,patience,9.168998778638252e-16,0.17773286951964584,0.8043808440138345,0.4789394860197284,0.20302145041900213
19,1.883794492938584,288.2,,unet,edm,angle,32,4,0.0007564205372075705,0.999,256,64,,,1050722,137,0.8214626908302307,patience,2.3741469591003304e-16,0.045708469588036316,0.28256917394078757,0.29085566438269245,0.044196402552109625
8,19.628425078633786,120.7,,mlp,vp,angle,384,2,0.00041527480066980144,0.9999,512,256,,,887488,600,0.8408139944076538,max_epochs,7.014774256806837e-16,0.9814212539316893,0.819451831394403,1.2248837247135673,1.4882395480038881
18,3.4251446424538345,1609.0,,dit,ve,pixel,64,6,0.00012458828093140484,0.999,128,128,8,1,471234,600,0.7518627047538757,max_epochs,2.1326382638519717e-16,0.09563397237802751,0.5137716963680752,0.3710334304136846,0.09299640776333262
2,3.120880744296579,324.3,,uvit,vp,angle,256,7,0.000280141282406827,0.9995,256,64,2,2,6011950,181,0.7337868809700012,patience,1.1030885715746208e-15,0.03731614975774056,0.46813211164448687,0.2605085252898609,0.14731525757497121
6,6.619271017768743,422.8,,mlp,edm,angle,128,8,0.0006232421378722613,0.9999,128,64,,,305600,513,0.8401477932929993,patience,2.101545343963888e-16,0.06281359324792057,0.9928906526653115,0.276483514504473,0.06143696324000157
20,1.5722508592140443,315.4,,unet,edm,angle,64,4,0.0014922557182236542,0.99,128,64,,,4176066,75,0.8199748992919922,patience,1.9031740734600008e-16,0.03995780131945703,0.23583762888210663,0.2759403193393763,0.046257433055948344
10,4.874161950751381,228.5,,mlp,vp,pixel,256,3,7.838364172034728e-05,0.9995,128,256,,,559424,398,0.7676916718482971,patience,8.773449520954509e-16,0.17392534614788202,0.7311242926127071,0.4659795705903467,0.16694049762745417
19,2.1162751230209342,399.1,,dit,vp,angle,64,3,0.0007333614375598464,0.999,128,128,8,2,246408,222,0.7312970757484436,patience,1.0016909929448195e-15,0.024190740030042512,0.31744126845314014,0.22218775455925047,0.03331641409525982
9,6.863930896481547,488.6,,mlp,vp,pixel,512,6,8.409773720733407e-05,0.9999,128,256,,,3612224,528,0.7501687407493591,patience,1.3039116166339014e-15,0.11394611471872462,1.029589634472232,0.3993608142990973,0.226740352968747
11,6.264095342613021,104.9,,mlp,vp,angle,512,2,0.00031104275500753916,0.9995,512,64,,,1412672,539,0.7486593723297119,patience,1.1327386471904577e-15,0.11288298300744937,0.9396143013919531,0.3783843276453607,0.15584592500462446
20,10.92756139831697,59.9,,dit,edm,angle,256,8,0.00011941822660764102,0.9999,512,128,2,2,9704712,20,0.9905388951301575,patience,1.170096181326668e-16,0.5463780699158485,0.930970458211064,0.7606293801775176,0.5567429295459322
3,12.911565809602553,481.5,,uvit,vp,pixel,128,6,0.00012539499197394672,0.9999,512,128,8,2,1523246,600,0.8083921670913696,max_epochs,6.262197134215396e-16,0.6455782904801277,0.63584046122488,0.979043169157765,1.1514407970750724
21,12.87279095830102,45.0,,dit,edm,angle,256,2,0.0002866403626060659,0.999,512,128,4,1,2606850,16,0.9903244972229004,patience,9.648177762844636e-17,0.643639547915051,1.530516906522958,0.9016176769917296,0.7796018967725828
12,4.876201036519065,99.4,,mlp,vp,pixel,512,7,6.146233070229797e-05,0.99,512,64,,,4039232,227,0.7685685157775879,patience,8.402951309480423e-16,0.18557178834159682,0.7314301554778597,0.49123099730392134,0.1945301445719835
21,5.439633904224151,317.3,,unet,edm,pixel,16,5,7.283146398440304e-05,0.9999,512,128,,,270130,600,0.8807142972946167,max_epochs,1.8460038566245214e-16,0.1898741163827029,0.8159450856336227,0.4335020890692786,0.28260692187150394
13,7.293597098545956,124.0,,mlp,vp,pixel,128,3,5.84487228107452e-05,0.99,256,64,,,140480,320,0.7793222665786743,patience,6.661285020101525e-16,0.3646798549272978,0.891651883959986,0.7150801027183086,0.3376826660276416
15,5.935035676569024,56.8,,mlp,vp,pixel,256,8,0.000859764064976851,0.99,512,256,,,1217344,86,0.7703138589859009,patience,9.678847611771051e-16,0.19685285410958975,0.8902553514853536,0.507091285333274,0.22523333441482984
16,5.2910774265789255,112.1,,mlp,vp,pixel,512,4,0.00023948195967636018,0.999,512,64,,,2463296,406,0.7477294206619263,patience,1.1994213534647588e-15,0.10413640734661178,0.7936616139868388,0.3818963434033377,0.09075500073026581
