trial,gate_score,sec,err,arch,param,domain,width,depth,lr,ema,batch,emb,heads,patch,params,epochs,val_loss,stopped_by,GA,GB,GC,GD,GD_trace
397,2.3630474770903924,377.7,,dit,vp,angle,64,6,0.0033893108080742134,0.9995,256,256,8,1,479426,241,0.7295379042625427,patience,1.0592098913288675e-15,0.01850779774167499,0.35445712156355885,0.1668093542933479,0.06743482015269256
398,1.452824221669207,286.0,,dit,ve,angle,64,6,0.002271879046149778,0.999,256,256,8,1,479426,182,0.7281677722930908,patience,2.2208271240442867e-16,0.010559561298849829,0.21792363325038105,0.16473497808117413,0.041365867468937036
402,2.7504281305146243,171.5,,adm,edm,angle,48,5,0.0005238612472616704,0.999,512,64,4,,2822450,164,0.8229111433029175,patience,1.9762039093760166e-16,0.0440586573532995,0.41256421957719364,0.2929829611514092,0.04365429939462879
403,10.874568679660207,148.8,,adm,edm,angle,48,6,0.0013409242718856345,0.999,128,64,4,,3350066,18,0.9906449317932129,patience,1.2531682718705063e-16,0.5437284339830104,0.9168953109333265,0.7547097545929629,0.5460333708067933
406,13.000498873753314,87.5,,dit,vp,pixel,64,6,0.004026363847756019,0.999,256,256,8,1,479426,34,0.8811942934989929,patience,1.5748605656451896e-15,0.48853027893210044,1.950074831062997,0.6187226755261156,0.19044142446676393
401,1.561030530382477,296.8,,dit,vp,angle,64,6,0.0021381022639393624,0.999,256,256,8,1,479426,185,0.7279146909713745,patience,9.595988066107408e-16,0.012640869662866816,0.23415457955737154,0.1705159064617267,0.06429334155587578
400,1.4559435478840888,461.2,,adm,edm,angle,48,5,0.0010637535813038377,0.999,128,64,4,,2822450,95,0.8200642466545105,patience,2.2127911964618654e-16,0.039246831567623985,0.2183915321826133,0.28970745610439397,0.04093311030604636
405,1.6097277514678574,279.9,,dit,ve,angle,64,6,0.0029557921135022,0.999,256,256,8,1,479426,198,0.728084921836853,patience,2.5953767020487285e-16,0.013900381692234953,0.24145916272017862,0.16816423956633336,0.03819514076778274
411,1.5857666465772011,112.4,,dit,ve,angle,64,6,0.0018565592011675386,0.999,256,256,8,1,479426,191,0.7282559871673584,patience,2.955039613198339e-16,0.013632122121012946,0.23786499698658017,0.16998842386769433,0.031235166751642156
407,1.9735391574578092,403.6,,uvit,ve,angle,64,6,0.002410680224352159,0.999,256,256,8,1,397864,365,0.7308875322341919,patience,2.2604036220968726e-16,0.03618399275413098,0.29603087361867136,0.25832350243304675,0.033542943721594186
404,1.7759872590389638,545.7,,adm,edm,angle,48,5,0.0005316914240700611,0.999,128,64,4,,2822450,110,0.8207780122756958,patience,2.3176146051262556e-16,0.04184996461266555,0.22900326555706593,0.3551974518077928,0.044645515192931404
410,1.5099022691664006,297.4,,dit,vp,angle,64,6,0.0021756819856875186,0.999,256,256,8,1,479426,181,0.7282971739768982,patience,9.298504823955686e-16,0.012548948304327734,0.22648534037496007,0.1629301117727413,0.036346448392468256
413,10.850999490393235,118.1,,adm,edm,angle,48,5,0.002274563481353175,0.999,128,64,4,,2822450,16,0.9907289147377014,patience,1.2621709081596985e-16,0.5425499745196618,0.9389909047219757,0.753008768808477,0.5442319245885586
408,1.9463035925141396,492.2,,conv,edm,angle,48,6,0.00020050405693273623,0.999,128,64,,,256658,214,0.8215525150299072,patience,2.066258646163821e-16,0.0581309203582554,0.29194553887712094,0.3579803009933169,0.07384212377456546
412,1.4649953285578938,302.7,,dit,ve,angle,64,6,0.0023400934054303444,0.999,256,256,8,1,479426,204,0.7269418239593506,patience,2.7411483710054825e-16,0.010267576339909601,0.21974929928368406,0.15636824214501752,0.03856843980805154
414,1.5444223685184775,187.2,,dit,vp,angle,64,7,0.002703363819469815,0.99,256,256,8,1,554114,123,0.728628933429718,patience,9.175630316235662e-16,0.012674880783667852,0.23166335527777163,0.17578857187489516,0.02639755403777358
419,1.66863285331316,90.8,,dit,vp,angle,64,7,0.0030948633410506237,0.99,256,256,8,1,554114,109,0.7289139628410339,patience,9.488157193652637e-16,0.012639684438945364,0.250294927996974,0.18436491250952494,0.048215265428794896
415,1.6361337129534796,275.7,,dit,vp,angle,64,6,0.00208219477979013,0.999,256,256,8,1,479426,167,0.7286641001701355,patience,9.033094944217957e-16,0.013170781557626077,0.24542005694302194,0.17152288909735236,0.035110191907846235
417,2.481056227971589,294.9,,adm,edm,pixel,48,7,0.00040177866975615206,0.999,128,64,4,,3350066,63,0.820265531539917,patience,1.8069361683268395e-16,0.016787093347044424,0.3721584341957383,0.17581434032043616,0.025116399947747392
418,1.491411255378696,312.3,,dit,ve,angle,64,6,0.002217181858778644,0.999,256,256,8,1,479426,199,0.7280934453010559,patience,2.385323052603563e-16,0.009572620066338633,0.22371168830680438,0.1628108158406577,0.03563393598203245
420,1.8905623689200357,251.9,,dit,ve,pixel,64,6,0.002259756674022761,0.99,256,256,8,1,479426,179,0.7303820252418518,patience,2.6726602871202737e-16,0.02046030358299289,0.28358435533800536,0.20670035109135454,0.031429110724164
422,4.901718569558026,215.7,,mlp,vp,angle,128,5,0.003297308117482656,0.999,256,256,,,231104,495,0.7405361533164978,patience,1.0218474522260439e-15,0.10747411773002868,0.7352577854337039,0.4080198141844589,0.09976254073248753
421,1.6500897054762713,334.7,,dit,vp,angle,64,7,0.0023869854815451643,0.999,256,256,8,1,554114,182,0.7278791666030884,patience,9.548900859751122e-16,0.012641790848378687,0.2475134558214407,0.16884810298263045,0.056737449901558684
409,1.9440934189201065,1033.3,,dit,vp,angle,64,6,0.00023104600429808307,0.999,128,256,8,1,479426,365,0.7322668433189392,patience,9.555884471496707e-16,0.02721465783931798,0.29161401283801597,0.2286912689135092,0.0308012060458655
416,1.8511154593986032,767.7,,uvit,edm,angle,64,6,0.0004642780303285558,0.999,128,64,8,1,385576,264,0.8212586045265198,patience,2.0513082935887898e-16,0.018360882703059245,0.27766731890979046,0.18102313377693913,0.017289790751603234
424,1.536605124526654,296.7,,dit,ve,angle,64,6,0.0023708460868920385,0.999,256,256,8,1,479426,187,0.7279019951820374,patience,2.1406213095389623e-16,0.011933154141754443,0.2304907686789981,0.16246256601013606,0.030957725697957048
423,1.8302570152813014,378.0,,dit,ve,angle,64,6,0.002594997695879394,0.999,256,128,8,1,471234,248,0.7285131216049194,patience,2.5709252597482623e-16,0.012445907251013022,0.2745385522921952,0.1705017853722941,0.027763983467417538
425,1.7007600690819857,271.0,,dit,vp,angle,64,6,0.002240949928439304,0.99,256,128,8,1,471234,164,0.7277433276176453,patience,9.462713431163952e-16,0.012782201653207537,0.25511401036229786,0.17489766079373348,0.024312048804890865
427,2.860069501444739,302.3,,adm,edm,pixel,96,6,0.0002133805466418785,0.999,128,64,4,,13349474,59,0.8203546404838562,patience,2.2319193703695554e-16,0.020084424801242395,0.4290104252167108,0.16880715287701364,0.024036364082593836
426,2.0858330127806397,385.3,,dit,vp,pixel,64,6,0.0020222282614736375,0.999,256,256,8,1,479426,243,0.7301734685897827,patience,9.84491265349508e-16,0.020683352407965927,0.3128749519170959,0.19112075687235414,0.04143664373545012
429,1.5271116405518959,240.1,,dit,vp,angle,64,6,0.002425887681105301,0.99,256,256,8,1,479426,145,0.7282590866088867,patience,9.078095788158519e-16,0.014289133630904782,0.22906674608278438,0.17756219388422856,0.03895740571694433
430,1.4296184776407241,286.5,,dit,ve,angle,64,6,0.002489918251986416,0.999,256,256,8,1,479426,183,0.7277106046676636,patience,2.2306927818845536e-16,0.011563282020006893,0.21444277164610862,0.1637833238726898,0.05019843409971754
431,1.688093281202923,271.7,,adm,edm,angle,32,4,0.0004076163177574075,0.9995,128,64,4,,1259554,121,0.8216559290885925,patience,2.185738954565735e-16,0.04146741966428813,0.25321399218043844,0.2937008243659134,0.04408404590673351
